<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.02.23	16:46:12.971	1.64726				2
2024.02.23	16:46:13.076	1.64725				2
2024.02.23	16:46:13.189	1.64726				2
2024.02.23	16:46:13.393		1.64746			4
2024.02.23	16:46:13.494		1.64745			4
2024.02.23	16:46:13.614	1.64725				2
2024.02.23	16:46:13.825		1.64746			4
2024.02.23	16:46:14.162	1.64726				2
2024.02.23	16:46:14.282	1.64725	1.64745			6
2024.02.23	16:46:14.384		1.64742			4
2024.02.23	16:46:14.486		1.64743			4
2024.02.23	16:46:14.590	1.64727	1.64745			6
2024.02.23	16:46:14.693	1.64728				2
2024.02.23	16:46:15.108		1.64747			4
2024.02.23	16:46:15.210	1.64726	1.64746			6
2024.02.23	16:46:15.314	1.64727				2
2024.02.23	16:46:15.675	1.64730	1.64749			6
2024.02.23	16:46:15.776	1.64728	1.64746			6
2024.02.23	16:46:15.882		1.64747			4
2024.02.23	16:46:16.227		1.64748			4
2024.02.23	16:46:16.754	1.64727				2
2024.02.23	16:46:16.854	1.64728				2
2024.02.23	16:46:17.225	1.64729				2
2024.02.23	16:46:17.332	1.64731	1.64747			6
2024.02.23	16:46:17.435	1.64729	1.64748			6
2024.02.23	16:46:17.672	1.64730	1.64750			6
2024.02.23	16:46:17.773	1.64729	1.64749			6
2024.02.23	16:46:17.880	1.64730	1.64750			6
2024.02.23	16:46:18.090		1.64751			4
2024.02.23	16:46:18.193	1.64731	1.64752			6
2024.02.23	16:46:18.750	1.64733	1.64753			6
2024.02.23	16:46:18.859		1.64754			4
2024.02.23	16:46:19.188	1.64737	1.64755			6
2024.02.23	16:46:19.292		1.64756			4
2024.02.23	16:46:19.398		1.64755			4
2024.02.23	16:46:19.502		1.64756			4
2024.02.23	16:46:20.143	1.64741	1.64761			6
2024.02.23	16:46:20.257		1.64762			4
2024.02.23	16:46:20.462		1.64760			4
2024.02.23	16:46:20.566	1.64738	1.64755			6
2024.02.23	16:46:20.777	1.64739	1.64757			6
2024.02.23	16:46:20.894		1.64759			4
2024.02.23	16:46:21.111	1.64740	1.64758			6
2024.02.23	16:46:21.230	1.64739				2
2024.02.23	16:46:21.792		1.64759			4
2024.02.23	16:46:22.021	1.64740	1.64755			6
2024.02.23	16:46:22.137	1.64738	1.64756			6
2024.02.23	16:46:22.242		1.64758			4
2024.02.23	16:46:22.449	1.64740				2
2024.02.23	16:46:22.561		1.64759			4
2024.02.23	16:46:22.684	1.64739				2
2024.02.23	16:46:22.809	1.64740				2
2024.02.23	16:46:23.287	1.64739				2
2024.02.23	16:46:23.390	1.64740				2
2024.02.23	16:46:23.844	1.64743	1.64761			6
2024.02.23	16:46:24.070	1.64742	1.64760			6
2024.02.23	16:46:24.171	1.64743				2
2024.02.23	16:46:24.500		1.64761			4
2024.02.23	16:46:24.675		1.64762			4
2024.02.23	16:46:24.816		1.64761			4
2024.02.23	16:46:24.926	1.64742				2
2024.02.23	16:46:25.175		1.64762			4
2024.02.23	16:46:25.303	1.64743				2
2024.02.23	16:46:25.997	1.64745	1.64763			6
2024.02.23	16:46:26.104		1.64764			4
2024.02.23	16:46:26.693		1.64763			4
2024.02.23	16:46:26.930		1.64764			4
2024.02.23	16:46:27.060		1.64763			4
2024.02.23	16:46:27.169		1.64764			4
2024.02.23	16:46:28.442		1.64763			4
2024.02.23	16:46:28.552		1.64762			4
2024.02.23	16:46:28.775	1.64742	1.64759			6
2024.02.23	16:46:28.877		1.64761			4
2024.02.23	16:46:28.980		1.64760			4
2024.02.23	16:46:29.086		1.64761			4
2024.02.23	16:46:29.351		1.64760			4
2024.02.23	16:46:29.506		1.64761			4
2024.02.23	16:46:29.765	1.64743	1.64762			6
2024.02.23	16:46:29.890		1.64761			4
2024.02.23	16:46:29.995	1.64742	1.64762			6
2024.02.23	16:46:30.105	1.64744				2
2024.02.23	16:46:30.210	1.64742	1.64761			6
2024.02.23	16:46:30.312	1.64741	1.64759			6
2024.02.23	16:46:30.438	1.64740	1.64760			6
2024.02.23	16:46:30.551	1.64741				2
2024.02.23	16:46:30.755	1.64739	1.64757			6
2024.02.23	16:46:30.958	1.64737				2
2024.02.23	16:46:31.171	1.64738				2
2024.02.23	16:46:31.282	1.64739				2
2024.02.23	16:46:31.386	1.64742	1.64762			6
2024.02.23	16:46:31.820		1.64760			4
2024.02.23	16:46:31.925	1.64740				2
2024.02.23	16:46:32.724		1.64758			4
2024.02.23	16:46:33.159	1.64738	1.64754			6
2024.02.23	16:46:33.755		1.64756			4
2024.02.23	16:46:33.859	1.64740	1.64759			6
2024.02.23	16:46:34.324	1.64739	1.64758			6
2024.02.23	16:46:34.430		1.64759			4
2024.02.23	16:46:34.823		1.64758			4
2024.02.23	16:46:35.339		1.64759			4
2024.02.23	16:46:35.988	1.64740				2
2024.02.23	16:46:36.906		1.64756			4
2024.02.23	16:46:37.014	1.64739	1.64759			6
2024.02.23	16:46:37.116		1.64758			4
2024.02.23	16:46:37.233		1.64759			4
2024.02.23	16:46:37.450	1.64741	1.64760			6
2024.02.23	16:46:37.551	1.64742				2
2024.02.23	16:46:37.674	1.64741				2
2024.02.23	16:46:38.020	1.64743				2
2024.02.23	16:46:38.234	1.64744	1.64762			6
2024.02.23	16:46:38.434		1.64761			4
2024.02.23	16:46:38.742	1.64743	1.64762			6
2024.02.23	16:46:38.844	1.64744	1.64763			6
2024.02.23	16:46:39.719		1.64762			4
2024.02.23	16:46:39.822		1.64763			4
2024.02.23	16:46:39.922		1.64761			4
2024.02.23	16:46:40.327		1.64763			4
2024.02.23	16:46:40.649	1.64745				2
2024.02.23	16:46:40.987		1.64764			4
2024.02.23	16:46:41.290	1.64748	1.64766			6
2024.02.23	16:46:41.391		1.64764			4
